model,timeseries,sMAPE,MAPE,ShapeSimilarity,Grubbs,Category
Random Walk,Y71,10.01,10.19,4486.24,0,Macro
Arima,Y71,19.99,17.7,11631.88,0,Macro
Theta,Y71,120.12,75.05,46603,0,Macro
Prophet,Y71,115.56,73.12,45659.44,0,Macro
Last Value,Y72,1.94,1.91,1175.8,0,Macro
Mean Value,Y72,73.41,53.7,32854.19,0,Macro
Random Walk,Y72,10.01,9.41,5766.31,0,Macro
Arima,Y72,10.4,11.12,6809.86,0,Macro
Theta,Y72,141.92,83,50772.1,0,Macro
Prophet,Y72,136.28,81.04,49581.03,0,Macro
Last Value,Y73,6.35,6.31,3859.3,0,Macro
Mean Value,Y73,10.48,9.73,6188.72,0,Macro
Random Walk,Y73,14.52,15.83,9254.74,0,Macro
Arima,Y73,6.72,6.79,4085.07,0,Macro
Theta,Y73,41.86,32.04,20318.8,0,Macro
Prophet,Y73,59.57,45.82,27891.74,0,Macro
Last Value,Y74,4.48,4.35,2762.8,0,Macro
Mean Value,Y74,51.43,40.9,25687.68,0,Macro
Random Walk,Y74,16.5,14.94,9446.86,0,Macro
Arima,Y74,3.89,3.79,2407.52,0,Macro
Theta,Y74,148.02,85,53360.2,0,Macro
Prophet,Y74,89.22,61.69,38722.46,0,Macro
Last Value,Y75,6.9,7.19,3976.8,0,Macro
Mean Value,Y75,21.11,19.06,10716.36,0,Macro
Random Walk,Y75,12.3,13.3,7361.53,0,Macro
Arima,Y75,9.94,10.53,5837.34,0,Macro
Theta,Y75,63.25,48.01,26929.5,0,Macro
Prophet,Y75,54.64,42.89,24058.78,0,Macro
Last Value,Y76,16.03,17.64,8819.3,0,Macro
Mean Value,Y76,33.84,28.85,14889.12,0,Macro
Random Walk,Y76,3.78,3.89,959.46,0,Macro
Arima,Y76,18.83,21.06,10544.72,0,Macro
Theta,Y76,110.85,71.3,36542.5,0,Macro
Prophet,Y76,92.4,63.16,32387.95,0,Macro
Last Value,Y77,6.6,6.31,4152.8,0,Macro
Mean Value,Y77,74.79,54.41,34877.65,0,Macro
Random Walk,Y77,8.34,7.9,4867.83,0,Macro
Arima,Y77,2.33,2.37,919,0,Macro
Theta,Y77,156.45,87.78,56170.2,0,Macro
Prophet,Y77,137.87,81.59,52249.81,0,Macro
Last Value,Y78,12.13,11.3,7611.88,0,Macro
Mean Value,Y78,116.21,73.48,48319.32,0,Macro
Random Walk,Y78,17.02,15.34,10320.19,0,Macro
Arima,Y78,14.65,13.46,9061.06,0,Macro
Theta,Y78,191.71,97.88,64280.95,0,Macro
Prophet,Y78,167.78,91.14,59875.07,0,Macro
Last Value,Y79,16.49,14.63,5348.6,0,Macro
Mean Value,Y79,90.06,61.85,20582.6,0,Macro
Random Walk,Y79,15.77,13.77,4693.37,0,Macro
Arima,Y79,54.25,40.79,14236.58,0,Macro
Theta,Y79,185.87,96.33,31566.02,0,Macro
Prophet,Y79,154.17,86.78,28561.03,0,Macro
Last Value,Y80,25.58,22.37,6435.3,0,Macro
Mean Value,Y80,31.69,27.07,7734.35,0,Macro
Random Walk,Y80,16.6,15.64,2067.86,0,Macro
Arima,Y80,18.78,16.69,4863.68,0,Macro
Theta,Y80,173.68,93.22,25904.1,0,Macro
Prophet,Y80,122.32,75.87,21170.93,0,Macro
Last Value,Y81,5.28,5.14,1415.41,0,Macro
Mean Value,Y81,105.83,69.21,19014.16,0,Macro
Random Walk,Y81,7.65,8.01,2197.44,0,Macro
Arima,Y81,8.72,9.3,2457.47,0,Macro
Theta,Y81,197.5,100.66,27652.21,0,Macro
Prophet,Y81,162.56,89.59,24616.72,0,Macro
Last Value,Y82,39.58,32.37,33386.12,0,Macro
Mean Value,Y82,115.22,72.96,72268.17,0,Macro
Random Walk,Y82,66.33,47.97,49503.74,0,Macro
Arima,Y82,93.33,62.45,63196.43,0,Macro
Theta,Y82,190.36,97.53,95731.76,0,Macro
Prophet,Y82,168.52,91.36,89858.41,0,Macro
